kategori;nama;gambar;deskripsi;warna;ukuran;isi
piring;PIRING KERTAS BULAT KRAFT NESTO;placeholder-produk.png;;;;
piring;PIRING KERTAS OVAL KRAFT NESTO;placeholder-produk.png;;;;
piring;MULIAPACK MANGKOK M 450 ML;placeholder-produk.png;;;450 ML;100 PCs
botol;BOTOL 250 ML + L N40 (U-25B104);placeholder-produk.png;;Putih, Hitam;249 ML;
botol;BOTOL 250 ML + L N40 KALE KOTAK (U-25B102);placeholder-produk.png;;Putih, Hitam;250 ML;
botol;BOTOL 350 ML + L N40 (U-35B102);placeholder-produk.png;;Putih, Hitam;350 ML;
botol;BOTOL 250 ML FLUG + L N45 (T-25B101);placeholder-produk.png;;Putih, Hitam;250 ML;
botol;BOTOL 1000 ML FLUG + L N45 KALE (T-10C104);placeholder-produk.png;;Putih, Hitam;1000 ML;
botol;BOTOL 250 ML + L N30 CMRY (O-25B104);placeholder-produk.png;;Putih, Hitam;250 ML;
botol;BOTOL 250 ML + L N30 ALMOND (O-25B103);placeholder-produk.png;;Putih, Hitam;250 ML;
botol;BOTOL 500 ML + L N30 (O-50B103);placeholder-produk.png;;Putih, Hitam;500 ML;
botol;BOTOL 30 ML + L PUTIH N30 ZZ (O-30A101);placeholder-produk.png;;Putih;30 ML;
botol;BOTOL 60 ML + L PUTIH N30 ZZ (O-60A102);placeholder-produk.png;;Putih;60 ML;
botol;BOTOL 125 ML + L PUTIH N30 ZZ (O-12B102);placeholder-produk.png;;Putih;120 ML;
botol;BOTOL 30 ML + L PUTIH N18 SPRAY (V-30A102);placeholder-produk.png;;Putih;30 ML;
botol;BOTOL 60 ML + L PUTIH N18 SPRAY (V-60A105);placeholder-produk.png;;Putih;60 ML;
botol;BOTOL 420 ML + LID PUMP N28 PUTIH;placeholder-produk.png;;Putih;420 ML;
botol;BOTOL 500 ML + LID PUMP N28 PUTIH;placeholder-produk.png;;Putih;500 ML;
toples;TOPLES PP KLIR;placeholder-produk.png;;Bening;250 ML, 500 ML;
toples;TOPLES PS TIP TOP;placeholder-produk.png;;Bening;250 ML, 500 ML;
toples;TOPLES + L BENING N85 (B-40B101);placeholder-produk.png;;Bening;300 ML, 400 ML, 500 ML, 600 ML, 750 ML, 800 ML, 1000 ML, 1300 ML;
toples;TOPLES 150 ML FLUG + L C50 (F-15B102);placeholder-produk.png;;Merah;150 ML;
toples;TOPLES 210 ML FLUG + L C50 (F-21B103);placeholder-produk.png;;Merah, Hitam;210 ML;
toples;TOPLES 320 ML FLUG + L C50 (F-32B101);placeholder-produk.png;;Merah;320 ML;
toples;TOPLES 850 ML + L C85 (B-85B101);placeholder-produk.png;;Coklat;850 ML;
toples;TOPLES JAR 350 ML + L COKLAT N60 (A0351);placeholder-produk.png;;Coklat;;
toples;TOPLES 500 ML + L COKLAT C60 (A0501);placeholder-produk.png;;Coklat;;
toples;TOPLES 1000 ML + L MERAH C85 (B-10C104);placeholder-produk.png;;Merah;1000 ML;
toples;TOPLES 2000 ML + L MERAH C85 (B-20C102);placeholder-produk.png;;Merah;2000 ML;
toples;TOPLES KOTAK 340 ML + L C60 (A-34B101);placeholder-produk.png;;Merah, Hijau;340 ML;
toples;TOPLES APEL 450 ML + L C60 (A-45B101);placeholder-produk.png;;Putih, Merah;450 ML;
toples;TOPLES S6 700 ML + L C60 (A-70B102);placeholder-produk.png;;Kuning, Biru;700 ML;
toples;TOPLES PANEN RAYA 505D;placeholder-produk.png;;Bening;500 ML;
toples;TOPLES PANEN RAYA 505K;placeholder-produk.png;;Bening;500 ML;
toples;TOPLES PANEN RAYA 255;placeholder-produk.png;;;;
toples;TOPLES PANEN RAYA 256 @ 6 PCS;placeholder-produk.png;;;;
toples;TOPLES PANEN RAYA 235;placeholder-produk.png;;;;
toples;TOPLES PANEN RAYA 2268;placeholder-produk.png;;;;
toples;TOPLES PANEN RAYA 3311;placeholder-produk.png;;;;
